Maimai data courtesy Jeff McDonnell           
1.0  ! stepsize (h)            
ST1: All data in mm/h           
ST2           
ST3           
*  ! list directed format ok here           
       year,     month,       day,         hour,      min,       QC,   P (mm/h),         E (mm/h),         Q (mm/h)
       1985          1          1          0          0          0     0.000000e+000     0.000000e+000     1.032632e-002 
       1985          1          1          1          0          0     0.000000e+000     0.000000e+000     1.004211e-002 
       1985          1          1          2          0          0     0.000000e+000     0.000000e+000     9.757890e-003 
       1985          1          1          3          0          0     0.000000e+000     0.000000e+000     9.947370e-003 
       1985          1          1          4          0          0     0.000000e+000     0.000000e+000     1.032632e-002 
       1985          1          1          5          0          0     0.000000e+000     0.000000e+000     1.080000e-002 
       1985          1          1          6          0          0     0.000000e+000     0.000000e+000     1.127368e-002 
       1985          1          1          7          0          0     0.000000e+000     1.112900e-001     1.165263e-002 
       1985          1          1          8          0          0     0.000000e+000     2.161200e-001     1.212632e-002 
       1985          1          1          9          0          0     0.000000e+000     3.083800e-001     1.250526e-002 
       1985          1          1         10          0          0     0.000000e+000     3.827300e-001     1.250526e-002 
       1985          1          1         11          0          0     0.000000e+000     4.348300e-001     1.250526e-002 
       1985          1          1         12          0          0     0.000000e+000     4.616600e-001     1.260000e-002 
       1985          1          1         13          0          0     0.000000e+000     4.616600e-001     1.260000e-002 
       1985          1          1         14          0          0     0.000000e+000     4.348300e-001     1.250526e-002 
       1985          1          1         15          0          0     0.000000e+000     3.827300e-001     1.222105e-002 
       1985          1          1         16          0          0     0.000000e+000     3.083800e-001     1.165263e-002 
       1985          1          1         17          0          0     0.000000e+000     2.161200e-001     1.108421e-002 
       1985          1          1         18          0          0     0.000000e+000     1.112900e-001     1.051579e-002 
       1985          1          1         19          0          0     0.000000e+000     0.000000e+000     9.947370e-003 
       1985          1          1         20          0          0     0.000000e+000     0.000000e+000     9.473680e-003 
       1985          1          1         21          0          0     0.000000e+000     0.000000e+000     8.905260e-003 
       1985          1          1         22          0          0     0.000000e+000     0.000000e+000     9.284210e-003 
       1985          1          1         23          0          0     0.000000e+000     0.000000e+000     9.852630e-003 
       1985          1          2          0          0          0     1.000000e-001     0.000000e+000     1.051579e-002 
       1985          1          2          1          0          0     2.000000e-001     0.000000e+000     1.108421e-002 
       1985          1          2          2          0          0     1.200000e+000     0.000000e+000     1.212632e-002 
       1985          1          2          3          0          0     2.200000e+000     0.000000e+000     1.496842e-002 
       1985          1          2          4          0          0     0.000000e+000     0.000000e+000     1.800000e-002 
       1985          1          2          5          0          0     0.000000e+000     0.000000e+000     2.709474e-002 
       1985          1          2          6          0          0     0.000000e+000     0.000000e+000     2.747368e-002 
       1985          1          2          7          0          0     0.000000e+000     1.112900e-001     2.453684e-002 
       1985          1          2          8          0          0     1.000000e-001     2.161200e-001     2.188421e-002 
       1985          1          2          9          0          0     0.000000e+000     3.083800e-001     2.103158e-002 
       1985          1          2         10          0          0     0.000000e+000     3.827300e-001     2.065263e-002 
       1985          1          2         11          0          0     0.000000e+000     4.348300e-001     2.017895e-002 
       1985          1          2         12          0          0     0.000000e+000     4.616600e-001     1.980000e-002 
       1985          1          2         13          0          0     0.000000e+000     4.616600e-001     1.942105e-002 
       1985          1          2         14          0          0     1.000000e-001     4.348300e-001     1.894737e-002 
       1985          1          2         15          0          0     0.000000e+000     3.827300e-001     1.847368e-002 
       1985          1          2         16          0          0     0.000000e+000     3.083800e-001     1.752632e-002 
       1985          1          2         17          0          0     0.000000e+000     2.161200e-001     1.648421e-002 
       1985          1          2         18          0          0     0.000000e+000     1.112900e-001     1.553684e-002 
       1985          1          2         19          0          0     4.000000e-001     0.000000e+000     1.496842e-002 
       1985          1          2         20          0          0     0.000000e+000     0.000000e+000     1.515789e-002 
       1985          1          2         21          0          0     0.000000e+000     0.000000e+000     1.525263e-002 
       1985          1          2         22          0          0     0.000000e+000     0.000000e+000     1.544211e-002 
       1985          1          2         23          0          0     0.000000e+000     0.000000e+000     1.733684e-002 
       1985          1          3          0          0          0     0.000000e+000     0.000000e+000     1.923158e-002 
       1985          1          3          1          0          0     0.000000e+000     0.000000e+000     2.330526e-002 
       1985          1          3          2          0          0     0.000000e+000     0.000000e+000     2.340000e-002 
       1985          1          3          3          0          0     0.000000e+000     0.000000e+000     2.197895e-002 
       1985          1          3          4          0          0     0.000000e+000     0.000000e+000     2.084211e-002 
       1985          1          3          5          0          0     0.000000e+000     0.000000e+000     1.980000e-002 
       1985          1          3          6          0          0     0.000000e+000     0.000000e+000     1.875789e-002 
       1985          1          3          7          0          0     0.000000e+000     1.112900e-001     1.771579e-002 
       1985          1          3          8          0          0     0.000000e+000     2.161200e-001     1.667368e-002 
       1985          1          3          9          0          0     0.000000e+000     3.083800e-001     1.563158e-002 
       1985          1          3         10          0          0     0.000000e+000     3.827300e-001     1.458947e-002 
       1985          1          3         11          0          0     0.000000e+000     4.348300e-001     1.354737e-002 
       1985          1          3         12          0          0     0.000000e+000     4.616600e-001     1.260000e-002 
       1985          1          3         13          0          0     0.000000e+000     4.616600e-001     1.155789e-002 
       1985          1          3         14          0          0     0.000000e+000     4.348300e-001     1.051579e-002 
       1985          1          3         15          0          0     0.000000e+000     3.827300e-001     9.473680e-003 
       1985          1          3         16          0          0     0.000000e+000     3.083800e-001     8.526320e-003 
       1985          1          3         17          0          0     0.000000e+000     2.161200e-001     8.431580e-003 
       1985          1          3         18          0          0     0.000000e+000     1.112900e-001     8.242110e-003 
       1985          1          3         19          0          0     0.000000e+000     0.000000e+000     8.052630e-003 
       1985          1          3         20          0          0     0.000000e+000     0.000000e+000     7.957890e-003 
       1985          1          3         21          0          0     0.000000e+000     0.000000e+000     8.336840e-003 
