Maimai data courtesy Jeff McDonnell           
1.0  ! stepsize (d)            
ST1: All data in mm/d           
ST2           
ST3           
*  ! list directed format ok here           
       year,     month,       day,         hour,      min,       QC,   P (mm/d),         E (mm/d),         Q_obs (mm/d)
       1985          1          2          0          0          0     1.000000e-001     3.830020e+000     2.646000e-001 
       1985          1          3          0          0          0     4.200000e+000     3.830020e+000     4.426105e-001 
       1985          1          4          0          0          0     0.000000e+000     3.830020e+000     3.278842e-001 
       1985          1          5          0          0          0     1.320000e+001     3.830020e+000     5.415158e-001 
       1985          1          6          0          0          0     2.400000e+000     3.830020e+000     6.209053e-001 
       1985          1          7          0          0          0     1.430000e+001     3.830020e+000     1.255737e+000 
       1985          1          8          0          0          0     4.400000e+000     3.830020e+000     7.436842e-001 
       1985          1          9          0          0          0     1.700000e+000     3.830020e+000     4.998316e-001 
       1985          1         10          0          0          0     0.000000e+000     3.830020e+000     2.404421e-001 
       1985          1         11          0          0          0     7.360000e+001     3.830020e+000     2.727445e+001 
       1985          1         12          0          0          0     1.250000e+001     3.830020e+000     9.322863e+000 
       1985          1         13          0          0          0     2.880000e+001     3.830020e+000     2.034786e+001 
       1985          1         14          0          0          0     4.500000e+000     3.830020e+000     8.321779e+000 
       1985          1         15          0          0          0     7.000000e-001     3.830020e+000     2.615400e+000 
       1985          1         16          0          0          0     0.000000e+000     3.830020e+000     1.284632e+000 
       1985          1         17          0          0          0     0.000000e+000     3.830020e+000     7.806316e-001 
       1985          1         18          0          0          0     0.000000e+000     3.830020e+000     6.645790e-001 
       1985          1         19          0          0          0     0.000000e+000     3.830020e+000     4.436526e-001 
       1985          1         20          0          0          0     0.000000e+000     3.830020e+000     5.167895e-001 
       1985          1         21          0          0          0     1.020000e+001     3.830020e+000     8.257263e-001 
       1985          1         22          0          0          0     1.000000e-001     3.830020e+000     7.330736e-001 
       1985          1         23          0          0          0     3.850000e+001     3.830020e+000     7.130653e+000 
       1985          1         24          0          0          0     7.400000e+000     3.830020e+000     6.315821e+000 
       1985          1         25          0          0          0     1.160000e+001     3.830020e+000     4.054926e+000 
       1985          1         26          0          0          0     4.800000e+000     3.830020e+000     5.349221e+000 
       1985          1         27          0          0          0     2.170000e+001     3.830020e+000     1.007650e+001 
       1985          1         28          0          0          0     0.000000e+000     3.830020e+000     8.067221e+000 
       1985          1         29          0          0          0     0.000000e+000     3.830020e+000     2.557421e+000 
       1985          1         30          0          0          0     0.000000e+000     3.830020e+000     1.534832e+000 
       1985          1         31          0          0          0     0.000000e+000     3.830020e+000     7.624421e-001 
       1985          2          1          0          0          0     0.000000e+000     3.830020e+000     6.407053e-001 
       1985          2          2          0          0          0     1.550000e+001     3.590020e+000     9.910421e-001 
       1985          2          3          0          0          0     1.500000e+001     3.590020e+000     4.991968e+000 
       1985          2          4          0          0          0     1.700000e+000     3.590020e+000     1.295337e+000 
       1985          2          5          0          0          0     0.000000e+000     3.590020e+000     7.198105e-001 
       1985          2          6          0          0          0     0.000000e+000     3.590020e+000     5.662421e-001 
       1985          2          7          0          0          0     0.000000e+000     3.590020e+000     4.458316e-001 
       1985          2          8          0          0          0     2.000000e-001     3.590020e+000     3.369079e-001 
       1985          2          9          0          0          0     7.000000e-001     3.590020e+000     1.528353e-001 
       1985          2         10          0          0          0     8.000000e-001     3.590020e+000     8.265001e-002 
       1985          2         11          0          0          0     0.000000e+000     3.590020e+000     7.830510e-002 
       1985          2         12          0          0          0     0.000000e+000     3.590020e+000     7.486407e-002 
       1985          2         13          0          0          0     0.000000e+000     3.590020e+000     7.155540e-002 
       1985          2         14          0          0          0     0.000000e+000     3.590020e+000     6.837111e-002 
       1985          2         15          0          0          0     1.200000e+000     3.590020e+000     6.530380e-002 
       1985          2         16          0          0          0     1.420000e+001     3.590020e+000     7.552808e-001 
       1985          2         17          0          0          0     0.000000e+000     3.590020e+000     2.855369e-001 
       1985          2         18          0          0          0     1.000000e-001     3.590020e+000     1.696737e-001 
       1985          2         19          0          0          0     2.100000e+000     3.590020e+000     2.239579e-001 
       1985          2         20          0          0          0     4.800000e+000     3.590020e+000     3.717474e-001 
       1985          2         21          0          0          0     0.000000e+000     3.590020e+000     2.715158e-001 
       1985          2         22          0          0          0     0.000000e+000     3.590020e+000     1.360421e-001 
       1985          2         23          0          0          0     0.000000e+000     3.590020e+000     5.864835e-002 
       1985          2         24          0          0          0     0.000000e+000     3.590020e+000     5.539756e-002 
       1985          2         25          0          0          0     0.000000e+000     3.590020e+000     5.278090e-002 
       1985          2         26          0          0          0     0.000000e+000     3.590020e+000     5.025008e-002 
       1985          2         27          0          0          0     0.000000e+000     3.590020e+000     4.780080e-002 
       1985          2         28          0          0          0     1.100000e+000     3.590020e+000     4.542892e-002 
       1985          3          1          0          0          0     3.610000e+001     3.590020e+000     1.903951e+000 
       1985          3          2          0          0          0     7.700000e+000     2.820000e+000     4.572379e+000 
       1985          3          3          0          0          0     0.000000e+000     2.820000e+000     4.839158e-001 
       1985          3          4          0          0          0     0.000000e+000     2.820000e+000     2.279369e-001 
       1985          3          5          0          0          0     2.100000e+000     2.820000e+000     1.748842e-001 
       1985          3          6          0          0          0     1.300000e+000     2.820000e+000     3.125368e-001 
       1985          3          7          0          0          0     1.230000e+001     2.820000e+000     1.113253e+000 
       1985          3          8          0          0          0     4.000000e-001     2.820000e+000     5.100632e-001 
       1985          3          9          0          0          0     0.000000e+000     2.820000e+000     2.978526e-001 
       1985          3         10          0          0          0     0.000000e+000     2.820000e+000     2.202631e-001 
       1985          3         11          0          0          0     0.000000e+000     2.820000e+000     5.995007e-002 
       1985          3         12          0          0          0     0.000000e+000     2.820000e+000     5.129443e-002 
       1985          3         13          0          0          0     0.000000e+000     2.820000e+000     4.881170e-002 
       1985          3         14          0          0          0     1.230000e+001     2.820000e+000     4.169165e-001 
       1985          3         15          0          0          0     0.000000e+000     2.820000e+000     2.606210e-001 
       1985          3         16          0          0          0     0.000000e+000     2.820000e+000     9.323999e-002 
       1985          3         17          0          0          0     0.000000e+000     2.820000e+000     6.344321e-002 
       1985          3         18          0          0          0     3.000000e-001     2.820000e+000     6.055200e-002 
       1985          3         19          0          0          0     0.000000e+000     2.820000e+000     5.776130e-002 
       1985          3         20          0          0          0     0.000000e+000     2.820000e+000     5.506562e-002 
       1985          3         21          0          0          0     0.000000e+000     2.820000e+000     5.245994e-002 
       1985          3         22          0          0          0     0.000000e+000     2.820000e+000     4.993954e-002 
       1985          3         23          0          0          0     0.000000e+000     2.820000e+000     4.750017e-002 
       1985          3         24          0          0          0     0.000000e+000     2.820000e+000     4.513770e-002 
       1985          3         25          0          0          0     0.000000e+000     2.820000e+000     4.284841e-002 
       1985          3         26          0          0          0     0.000000e+000     2.820000e+000     4.062878e-002 
       1985          3         27          0          0          0     0.000000e+000     2.820000e+000     3.847554e-002 
       1985          3         28          0          0          0     0.000000e+000     2.820000e+000     3.638562e-002 
       1985          3         29          0          0          0     0.000000e+000     2.820000e+000     3.435614e-002 
       1985          3         30          0          0          0     2.000000e-001     2.820000e+000     3.238443e-002 
       1985          3         31          0          0          0     1.900000e+000     2.820000e+000     3.046796e-002 
       1985          4          1          0          0          0     0.000000e+000     2.820000e+000     2.860438e-002 
       1985          4          2          0          0          0     0.000000e+000     1.889980e+000     2.679140e-002 
       1985          4          3          0          0          0     0.000000e+000     1.889980e+000     2.502694e-002 
       1985          4          4          0          0          0     0.000000e+000     1.889980e+000     2.330904e-002 
       1985          4          5          0          0          0     0.000000e+000     1.889980e+000     2.163583e-002 
       1985          4          6          0          0          0     0.000000e+000     1.889980e+000     2.000556e-002 
       1985          4          7          0          0          0     0.000000e+000     1.889980e+000     1.841649e-002 
       1985          4          8          0          0          0     0.000000e+000     1.889980e+000     1.686711e-002 
       1985          4          9          0          0          0     5.000000e-001     1.889980e+000     1.535592e-002 
       1985          4         10          0          0          0     0.000000e+000     1.889980e+000     1.388147e-002 
       1985          4         11          0          0          0     0.000000e+000     1.889980e+000     1.244249e-002 
