Mopex data      
1.0  ! stepsize (1d)            
ST1: All data in mm/stepsize; temperature in °C           
ST2           
ST3           
*  ! list directed format ok here           
      Year,     Month,       Day,      Hour,       Min,        QC,            Disch,             Prec,              Etp,              Temp 
       1948          1          1          0          0          0      1.494000e-01      0.000000e+00      1.560000e+00      6.766700e+00 
       1948          1          2          0          0          0      1.438000e-01      0.000000e+00      1.558000e+00      7.083350e+00 
       1948          1          3          0          0          0      1.449000e-01      0.000000e+00      1.556000e+00      1.171115e+01 
       1948          1          4          0          0          0      1.517000e-01      0.000000e+00      1.555000e+00      1.214720e+01 
       1948          1          5          0          0          0      1.483000e-01      0.000000e+00      1.555000e+00      1.119720e+01 
       1948          1          6          0          0          0      1.494000e-01      0.000000e+00      1.556000e+00      1.187225e+01 
       1948          1          7          0          0          0      1.494000e-01      0.000000e+00      1.557000e+00      1.252780e+01 
       1948          1          8          0          0          0      1.483000e-01      0.000000e+00      1.559000e+00      1.737500e+01 
       1948          1          9          0          0          0      1.472000e-01      0.000000e+00      1.561000e+00      1.715000e+01 
       1948          1         10          0          0          0      1.517000e-01      9.000000e-02      1.564000e+00      1.316945e+01 
       1948          1         11          0          0          0      1.427000e-01      1.000000e-02      1.568000e+00      1.199170e+01 
       1948          1         12          0          0          0      1.550000e-01      1.800000e-01      1.573000e+00      1.445555e+01 
       1948          1         13          0          0          0      1.494000e-01      2.000000e-02      1.579000e+00      6.333350e+00 
       1948          1         14          0          0          0      1.505000e-01      0.000000e+00      1.585000e+00      4.961100e+00 
       1948          1         15          0          0          0      1.517000e-01      8.600000e-01      1.591000e+00      8.141700e+00 
       1948          1         16          0          0          0      1.416000e-01      1.410000e+00      1.599000e+00      6.975000e+00 
       1948          1         17          0          0          0      1.573000e-01      1.800000e-01      1.607000e+00      1.616700e+00 
       1948          1         18          0          0          0      1.517000e-01      4.200000e-01      1.616000e+00      4.389000e-01 
       1948          1         19          0          0          0      1.483000e-01      5.450000e+00      1.626000e+00      1.022250e+00 
       1948          1         20          0          0          0      1.550000e-01      2.300000e-01      1.636000e+00      4.019450e+00 
       1948          1         21          0          0          0      1.539000e-01      2.000000e-02      1.647000e+00      9.347200e+00 
       1948          1         22          0          0          0      1.505000e-01      1.000000e-02      1.659000e+00      1.233055e+01 
       1948          1         23          0          0          0      1.539000e-01      0.000000e+00      1.671000e+00      4.705550e+00 
       1948          1         24          0          0          0      1.505000e-01      5.000000e-02      1.684000e+00      3.167000e-01 
       1948          1         25          0          0          0      1.607000e-01      1.100000e+00      1.697000e+00     -1.385000e-02 
       1948          1         26          0          0          0      1.550000e-01      4.800000e+00      1.712000e+00     -7.000000e-01 
       1948          1         27          0          0          0      1.270000e-01      1.350000e+00      1.727000e+00     -2.222200e+00 
       1948          1         28          0          0          0      1.427000e-01      5.400000e-01      1.742000e+00     -5.452750e+00 
       1948          1         29          0          0          0      1.539000e-01      1.080000e+00      1.759000e+00     -1.913900e+00 
       1948          1         30          0          0          0      1.562000e-01      0.000000e+00      1.776000e+00      2.772200e+00 
       1948          1         31          0          0          0      1.494000e-01      3.690000e+00      1.793000e+00      5.886100e+00 
       1948          2          1          0          0          0      1.618000e-01      8.780000e+00      1.812000e+00      5.672200e+00 
       1948          2          2          0          0          0      1.764000e-01      7.050000e+00      1.830000e+00      7.083300e+00 
       1948          2          3          0          0          0      1.910000e-01      7.080000e+00      1.850000e+00      8.361150e+00 
       1948          2          4          0          0          0      1.472000e-01      3.570000e+00      1.870000e+00      1.216110e+01 
       1948          2          5          0          0          0      1.910000e-01      1.660000e+00      1.891000e+00      1.190835e+01 
       1948          2          6          0          0          0      1.573000e-01      2.160000e+00      1.912000e+00      8.505550e+00 
       1948          2          7          0          0          0      1.629000e-01      7.400000e-01      1.934000e+00      9.333350e+00 
       1948          2          8          0          0          0      1.629000e-01      2.940000e+00      1.957000e+00      5.188900e+00 
       1948          2          9          0          0          0      1.584000e-01      3.700000e-01      1.980000e+00      3.513900e+00 
       1948          2         10          0          0          0      1.550000e-01      1.000000e-01      2.004000e+00      5.738850e+00 
       1948          2         11          0          0          0      1.573000e-01      2.700000e-01      2.028000e+00      9.119450e+00 
       1948          2         12          0          0          0      1.517000e-01      3.000000e-01      2.053000e+00      3.166500e-01 
       1948          2         13          0          0          0      1.550000e-01      6.000000e-02      2.078000e+00      4.705550e+00 
